stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori,bulan,hari_dalam_minggu
0,-0.8952402958699551,-0.9156973053100028,-0.11373749333998685,-1.254542976339217,0.9525093520481007,-1.3996223498205829,-0.9934070477291775,2,1,1,4
0,-1.2546254891226158,-1.7643320900472983,-0.2509710319220552,-1.1113048251261097,2.8443222195690745,-1.9473470517578808,-1.3197705084650835,0,0,1,5
0,-0.6385365864037688,-0.4528056045442052,-0.38820457050412355,-1.1113048251261097,2.0166540900286485,-1.3996223498205829,-0.7214374971159226,2,1,1,6
0,-1.1519440053361414,-1.5328862396643996,-0.4568213397951577,-1.5410192787654322,1.0707476562681617,-1.9473470517578808,-1.2653765983424325,2,0,1,0
0,-0.8952402958699551,-0.9156973053100028,-0.4568213397951577,-1.254542976339217,0.9525093520481007,-1.7647721511121148,-0.9934070477291775,2,1,1,1
0,-0.6385365864037688,-0.684251454927104,-0.5254381090861919,-0.2518759178474645,2.726083915349014,-1.3996223498205829,-0.7214374971159226,2,1,1,2
0,-1.2032847472293786,-1.1471431556929017,-0.594054878377226,-1.254542976339217,1.8984157858085877,-1.673484700789232,-1.3197705084650835,2,0,1,3
0,-0.8438995539767178,-0.9928459221043024,-0.3195878012130894,0.17783853579185807,-0.7028269070327514,-1.673484700789232,-0.9390131376065266,2,1,1,4
0,-0.484514360724057,-0.2213597541613064,-1.005755494123431,1.753458199136041,-0.11163538593244708,-1.490909800143466,-0.5582557667479697,2,1,1,5
0,-2.3327810688805983,-2.0729265572244966,-1.005755494123431,-0.5383522202736796,1.1889859604882225,-1.856059601434998,-2.081285250182197,0,0,1,6
0,-0.8438995539767178,-0.9156973053100028,-0.9371387248323969,-0.10863776663435698,0.4795561351678573,-1.673484700789232,-0.9390131376065266,2,1,1,0
0,-1.049262521549667,-1.6100348564586993,-0.7312884169592944,-0.395114069060572,0.3613178309477964,-1.2170474491748169,-1.1565887780971305,2,0,1,1
0,-1.3573069729090903,-1.2242917724872011,-0.9371387248323969,-0.2518759178474645,-0.34811199437256884,-1.7647721511121148,-1.4829522388330365,2,0,1,2
0,-0.6898773282970061,-1.069994538898602,-1.0743722634144652,0.03460038457875055,0.3613178309477964,-1.3996223498205829,-0.7758314072385736,2,1,1,3
0,-0.4331736188308198,-0.6071028381328044,-1.1429890327054995,0.03460038457875055,1.0707476562681617,-1.490909800143466,-0.5038618566253187,2,1,1,4
0,0.13157454199479005,0.1643833298101916,-1.0743722634144652,0.3210766870049656,0.24307952672773553,-1.3083348994977,0.09447115472384209,2,1,1,5
0,0.028893058208315534,0.1643833298101916,-0.9371387248323969,0.03460038457875055,0.3613178309477964,-1.3083348994977,-0.014316665521459883,2,1,1,6
0,-0.9465810377631924,-0.7614000717214036,-1.005755494123431,-0.5383522202736796,0.3613178309477964,-1.490909800143466,-1.0478009578518286,2,1,1,0
0,-1.5113291985888022,-1.4557376228701,-1.2116058019965337,-0.395114069060572,0.24307952672773553,-1.490909800143466,-1.6461339692009893,2,0,1,1
0,-1.870714391841463,-1.1471431556929017,-1.2802225712875677,-0.395114069060572,-0.11163538593244708,-1.3996223498205829,-1.9724974299368951,1,0,1,2
0,-0.9979217796564296,-0.5299542213385048,-1.2116058019965337,-0.10863776663435698,0.5977944393879181,-1.2170474491748169,-1.1021948679744795,2,1,1,3
0,-0.3818328769375825,-0.0670625205727072,-1.1429890327054995,-0.10863776663435698,0.5977944393879181,-1.2170474491748169,-0.44946794650266775,2,1,1,4
0,1.928500508258094,1.7073556656961837,-1.1429890327054995,4.045268618545761,2.489607306908892,-0.760610197560402,1.9982580090166264,2,3,1,5
0,-1.1519440053361414,-1.3014403892815007,-1.2802225712875677,-0.10863776663435698,0.0066029182876137845,-1.673484700789232,-1.2653765983424325,2,0,1,6
0,0.5936412190339253,0.47297779698739,-1.2116058019965337,2.039934501562256,4.6178967828699875,-1.2170474491748169,0.5840163458277009,2,1,1,0
0,-0.022447683684921723,0.1643833298101916,-1.1429890327054995,0.6075529894311806,0.5977944393879181,-1.3996223498205829,-0.06871057564411086,2,1,1,1
0,-2.5894847783467845,-2.3043724076073957,-1.2116058019965337,-0.681590371486787,-0.4663502985926297,-1.856059601434998,-2.78840608177666,1,0,1,2
0,-1.5113291985888022,-1.7643320900472983,-1.1429890327054995,0.4643148382180731,-0.7028269070327514,-1.5821972504663488,-1.6461339692009893,2,0,1,3
0,-0.8952402958699551,-1.5328862396643996,-1.005755494123431,0.3210766870049656,0.12484122250767465,-1.5821972504663488,-0.9934070477291775,2,1,1,4
0,-1.7166921661617511,-1.7643320900472983,-1.2116058019965337,0.17783853579185807,0.12484122250767465,-1.490909800143466,-1.8637096096915933,2,0,1,5
0,-0.9979217796564296,-1.069994538898602,-1.2116058019965337,0.17783853579185807,0.3613178309477964,-1.673484700789232,-1.1021948679744795,2,1,1,6
0,0.43961899335421356,0.7044236473702888,-0.6626716476682603,1.6102200479229334,-0.9393035154728732,0.24355175599131085,0.420834615459748,2,1,2,0
0,-1.2546254891226158,-1.5328862396643996,-0.6626716476682603,-0.10863776663435698,-0.8210652112528123,-0.39546039626887003,-1.3741644185877344,2,0,2,1
0,-1.9220551337347003,-2.0729265572244966,-0.7999051862503286,-0.5383522202736796,-1.057541819692934,-0.851897647883285,-2.081285250182197,2,0,2,2
0,-0.8952402958699551,-1.069994538898602,-0.5254381090861919,-0.10863776663435698,-1.2940184281330558,-0.39546039626887003,-0.9934070477291775,2,1,2,3
0,-1.7680329080549884,-1.6100348564586993,-0.7312884169592944,-0.10863776663435698,-1.2940184281330558,-0.6693227472375191,-1.9181035198142442,2,0,2,4
0,-1.870714391841463,-1.7643320900472983,-0.6626716476682603,-0.9680666739130022,-0.22987369015250794,-1.2170474491748169,-2.0268913400595463,2,0,2,5
0,-2.435462552667073,-1.9186293236358976,-0.7999051862503286,-1.1113048251261097,-0.4663502985926297,-1.490909800143466,-2.516436531163405,1,0,2,6
0,-2.281440326987361,-1.9957779404301972,-0.7999051862503286,-0.681590371486787,-0.5845886028126905,-1.034472548529051,-2.462042621040754,2,0,2,0
0,-1.5626699404820394,-1.3014403892815007,-0.594054878377226,-0.395114069060572,-1.057541819692934,-0.5780352969146361,-1.7005278793236402,2,0,2,1
0,-1.665351424268514,-1.3785890060758004,-0.6626716476682603,-0.681590371486787,-1.2940184281330558,-1.125759998851934,-1.8093156995689423,2,0,2,2
0,-1.7166921661617511,-1.841480706841598,-0.5254381090861919,-0.2518759178474645,-1.6487333407932383,-1.034472548529051,-1.8637096096915933,2,0,2,3
0,-0.9465810377631924,-0.684251454927104,-0.3195878012130894,0.17783853579185807,-1.5304950365731775,-1.125759998851934,-1.0478009578518286,2,1,2,4
